place_id,reviewTags,count
0,altitude,1
0,kaurava,1
0,kedarnath temple,1
0,kurukshetra war,1
0,mountain range,1
0,navel,1
0,pandavas,1
0,shiva,1
0,snow,1
0,trek,1
1,1936,1
1,balance of nature,1
1,belts,1
1,canter,1
1,jungle,1
1,mango trees,1
1,march,1
1,resort,1
1,sal,1
1,tiger,1
2,aquarium,1
2,aquatic,1
2,aviary,1
2,cactus,1
2,canteen,1
2,commando,1
2,crocodile,1
2,emu,1
2,nilgai,1
2,ticket,1
3,ashram,1
3,beautiful,1
3,bridge,1
3,evening,1
3,experience,1
3,feel,1
3,peaceful,1
3,ram jhula,1
3,temples,1
3,walk,1
4,beautiful,1
4,birthplace,1
4,country,1
4,government,1
4,hindu,1
4,holy place,1
4,name,1
4,nature,1
4,peaceful,1
4,rishi,1
5,bravery,1
5,indian army,1
5,jai hind,1
5,martyrs,1
5,parade,1
5,patriotic,1
5,pride,1
5,regiment,1
5,rifles,1
5,war,1
6,10th century,1
6,ancient,1
6,archaeological survey of india,1
6,banks,1
6,beautiful,1
6,katyuri kings,1
6,lake,1
6,monuments,1
6,parvati,1
6,town,1
7,0,1
7,ganga,1
7,gautama maharishi,1
7,historical,1
7,kids,1
7,lord shiva,1
7,palace,1
7,peaceful,1
7,pond,1
7,spiritual,1
8,0,8
8,beautiful,1
8,mahadev,1
9,beauty,1
9,capital,1
9,cultural,1
9,heaven,1
9,hill station,1
9,home,1
9,peaceful,1
9,snow,1
9,sweets,1
9,temples,1
10,0,10
11,0,10
12,1950,1
12,altitude,1
12,anjana,1
12,ashram,1
12,beautiful,1
12,jai hanuman,1
12,neem karoli baba,1
12,silence,1
12,statue,1
12,sunset,1
13,aarti,1
13,bath,1
13,dip,1
13,divine,1
13,hindu,1
13,holy place,1
13,kumbh mela,1
13,peaceful,1
13,religious place,1
13,spiritual,1
14,adventure,1
14,beautiful,1
14,car,1
14,experience,1
14,feb,1
14,hill station,1
14,pricing,1
14,ropeway,1
14,snow,1
14,trip,1
15,ancient,1
15,avatar,1
15,beautiful,1
15,environment,1
15,holy,1
15,lord shiva,1
15,peaceful,1
15,river,1
15,sati,1
15,virabhadra,1
16,0,10
17,beautiful,1
17,experience,1
17,family,1
17,february,1
17,hotel,1
17,january,1
17,parking,1
17,peace,1
17,season,1
17,snowfall,1
18,0,5
18,adventure,1
18,experience,1
18,national park,1
18,tiger,1
18,wildlife,1
19,0,10
